"","t","blue_choice_value","orange_choice_value","p_blue","p_orange","this_trial_action","this_trial_outcome"
"36",36,0.584210859169907,0.176422027120527,0.600557563932536,0.399442436067464,"orange",1
"37",37,0.584210859169907,0.506199861276798,0.519492864806223,0.480507135193777,"orange",1
"38",38,0.584210859169907,0.703927757865449,0.470106469978378,0.529893530021622,"orange",1
"39",39,0.584210859169907,0.822481271898312,0.440712624246187,0.559287375753813,"orange",1
"40",40,0.584210859169907,0.893563480994885,0.423272764397039,0.576727235602961,"blue",0
"41",41,0.198813570527443,0.893563480994885,0.332977266321096,0.667022733678904,"orange",1
"42",42,0.198813570527443,0.936182887861631,0.323579669273813,0.676420330726187,"orange",1
"43",43,0.198813570527443,0.961736593419731,0.318011982990334,0.681988017009666,"blue",1
"44",44,0.519625362692169,0.961736593419731,0.391238020373879,0.608761979626121,"orange",0
"45",45,0.519625362692169,0.327289852702083,0.547936193433759,0.452063806566241,"orange",0
"46",46,0.519625362692169,0.111380442851675,0.600666968981447,0.399333031018553,"blue",1
"47",47,0.711977407904243,0.111380442851675,0.645792870543368,0.354207129456632,"blue",1
"48",48,0.827307673813764,0.111380442851675,0.671709535880472,0.328290464119528,"orange",1
"49",49,0.827307673813764,0.467202286800099,0.589065945043465,0.410934054956535,"blue",1
"50",50,0.896457290705521,0.467202286800099,0.605695756218741,0.394304243781259,"orange",1
"51",51,0.896457290705521,0.680545627307569,0.553769194294655,0.446230805705345,"blue",1
"52",52,0.937917955679865,0.680545627307569,0.563990242559406,0.436009757440594,"blue",1
"53",53,0.962776903818445,0.680545627307569,0.570093166002911,0.429906833997089,"orange",0
"54",54,0.962776903818445,0.231597382945095,0.675064056931113,0.324935943068887,"blue",0
"55",55,0.327643882110436,0.231597382945095,0.523993183007071,0.476006816992929,"orange",1
"56",56,0.327643882110436,0.539281851394886,0.447287114569197,0.552712885430803,"blue",1
"57",57,0.596869324801808,0.539281851394886,0.514392890955705,0.485607109044295,"blue",0
"58",58,0.203121389716653,0.539281851394886,0.416742447266901,0.583257552733099,"orange",1
"59",59,0.203121389716653,0.723763027685059,0.372702209514419,0.627297790485581,"orange",1
"60",60,0.203121389716653,0.834374085100067,0.347226547218178,0.652773452781822,"orange",1
"61",61,0.203121389716653,0.900694163215906,0.332350594706546,0.667649405293454,"blue",1
"62",62,0.522208241039181,0.900694163215906,0.406492126067129,0.593507873932871,"blue",1
"63",63,0.713526047775706,0.900694163215906,0.45334409544354,0.54665590455646,"orange",1
"64",64,0.713526047775706,0.940458295881129,0.443509161735283,0.556490838264717,"orange",1
"65",65,0.713526047775706,0.964300038706818,0.437633002743292,0.562366997256708,"orange",0
"66",66,0.713526047775706,0.32816222215975,0.595166138283593,0.404833861716407,"blue",0
"67",67,0.242820993475176,0.32816222215975,0.47867763238121,0.521322367618789,"orange",1
"68",68,0.242820993475176,0.597180110661418,0.412325747168539,0.587674252831461,"blue",0
"69",69,0.0826347335967275,0.597180110661418,0.374128589004635,0.625871410995365,"orange",1
"70",70,0.0826347335967275,0.758477613794843,0.337189759309489,0.662810240690511,"blue",0
"71",71,0.0281215355347775,0.758477613794843,0.325116593358747,0.674883406641253,"orange",1
"72",72,0.0281215355347775,0.855188225352988,0.304265660185589,0.695734339814411,"orange",1
"73",73,0.0281215355347775,0.913173886669851,0.292131902721776,0.707868097278224,"orange",1
"74",74,0.0281215355347775,0.9479408772222,0.284994706105442,0.715005293894558,"blue",1
"75",75,0.417281986188753,0.9479408772222,0.370363225275133,0.629636774724867,"blue",1
"76",76,0.650614458458067,0.9479408772222,0.42621119206048,0.57378880793952,"blue",1
"77",77,0.790515731888647,0.9479408772222,0.460724792247104,0.539275207752896,"blue",1
"78",78,0.874397611325075,0.9479408772222,0.481622465858393,0.518377534141607,"orange",0
"79",79,0.874397611325075,0.322595014268043,0.63455370609541,0.36544629390459,"orange",1
"80",80,0.874397611325075,0.593842129171196,0.569682402525484,0.430317597474516,"orange",0
"81",81,0.874397611325075,0.202091200765934,0.662019410583729,0.337980589416271,"orange",0
"82",82,0.874397611325075,0.0687739239451015,0.691176155404155,0.308823844595845,"orange",0
"83",83,0.874397611325075,0.023404545061241,0.70077541928498,0.29922458071502,"blue",1
"84",84,0.924691432998391,0.023404545061241,0.711213886683207,0.288786113316793,"blue",1
"85",85,0.95484655726959,0.023404545061241,0.717367746909364,0.282632253090636,"orange",1
"86",86,0.95484655726959,0.414453777291853,0.631903783638035,0.368096216361965,"orange",1
"87",87,0.95484655726959,0.648918723516608,0.575890981618708,0.424109018381292,"orange",0
"88",88,0.95484655726959,0.220834389466434,0.67568509694629,0.32431490305371,"orange",1
"89",89,0.95484655726959,0.53282858546518,0.603966031812279,0.396033968187721,"blue",1
"90",90,0.972926939502582,0.53282858546518,0.608282466295248,0.391717533704752,"blue",1
"91",91,0.983767558786759,0.53282858546518,0.610862460062788,0.389137539937212,"orange",1
"92",92,0.983767558786759,0.719893784314981,0.565588311808063,0.434411688191937,"blue",1
"93",93,0.990267367526975,0.719893784314981,0.567184616799549,0.432815383200451,"blue",0
"94",94,0.336999198191198,0.719893784314981,0.405428948226008,0.594571051773992,"orange",0
"95",95,0.336999198191198,0.244988006322814,0.522986583106669,0.477013416893331,"blue",1
"96",96,0.602478576785962,0.244988006322814,0.588432836487764,0.411567163512236,"blue",1
"97",97,0.761654463338514,0.244988006322814,0.626367942663294,0.373632057336706,"orange",0
"98",98,0.761654463338514,0.0833721926063564,0.663355210264389,0.336644789735611,"orange",0
"99",99,0.761654463338514,0.0283725011861696,0.675525062992907,0.324474937007093,"blue",1
"100",100,0.857092997939222,0.0283725011861696,0.696084317639679,0.303915682360321,"blue",1
